team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Tottenham Hotspur,Sunderland,4.940439,2.310157,2.310157,-2.466472,2.466472,3.353853,3.353853,0.345653,0.345653,1.272722,1.272722
Tottenham Hotspur,Swansea City,3.645891,1.175167,1.175167,0.181532,0.181532,2.065383,2.065383,-1.852446,1.852446,2.044795,2.044795
Tottenham Hotspur,Watford,4.131808,1.617110,1.617110,-1.760074,1.760074,3.207374,3.207374,-0.427586,0.427586,0.942793,0.942793
Tottenham Hotspur,West Bromwich Albion,5.357109,2.109274,2.109274,-2.115246,2.115246,3.362308,3.362308,-1.451744,1.451744,2.522426,2.522426
Tottenham Hotspur,West Ham United,4.270453,1.124946,1.124946,-0.923447,0.923447,3.317793,3.317793,-2.256988,2.256988,0.129478,0.129478
Watford,AFC Bournemouth,3.664514,-1.134990,1.134990,1.691013,1.691013,-1.975108,1.975108,-2.280032,2.280032,0.425839,0.425839
Watford,Arsenal,3.487730,-2.179583,2.179583,2.249422,2.249422,-1.041022,1.041022,-0.007681,0.007681,1.126939,1.126939
Watford,Aston Villa,2.046578,-0.241060,0.241060,1.331895,1.331895,-0.113901,0.113901,-1.360850,1.360850,0.701100,0.701100
Watford,Chelsea,3.242356,-1.978700,1.978700,2.012641,2.012641,-1.469020,1.469020,-0.460871,0.460871,-0.420085,0.420085
Watford,Crystal Palace,2.273746,0.080353,0.080353,0.090766,0.090766,-0.967658,0.967658,-1.986867,1.986867,0.520790,0.520790
Watford,Everton,2.002099,-0.662915,0.662915,1.738369,1.738369,-0.412579,0.412579,-0.034565,0.034565,-0.612863,0.612863
Watford,Leicester City,2.724639,-0.040177,0.040177,-0.728102,0.728102,-0.424019,0.424019,-1.730827,1.730827,-1.927786,1.927786
Watford,Liverpool,3.997382,-1.717551,1.717551,1.552890,1.552890,-3.225279,3.225279,0.231716,0.231716,-0.401862,0.401862
